StudentID,CourseID,Grade,ExamScore,AssignmentScore
S005,C238,C,61,64
S005,C239,C,66,64
S005,C240,D,54,55
S005,C241,C,61,62
S005,C242,C,65,61
S005,C243,B,72,72
S005,C244,A,81,84
S005,C245,C,61,60
S005,C246,F,42,22
S005,C247,C,66,67
S005,C248,C,65,60
S005,C249,B,78,77
S005,C250,B,70,76
S006,C201,F,38,19
S006,C202,B,75,70
S006,C203,D,56,53
S006,C204,B,77,78
S006,C205,F,19,1
S006,C206,C,64,68
S006,C207,C,69,68
S006,C208,B,71,71
S006,C209,C,66,60
S006,C210,D,54,54
S006,C211,B,72,73
S006,C212,A,87,96
S006,C213,C,67,66
S006,C214,B,71,75
S006,C215,B,76,78
S006,C216,A,93,89
S006,C217,C,64,63
S006,C218,B,70,78
S006,C219,D,55,55
S006,C220,B,79,78
S006,C221,C,69,66
S006,C222,C,66,64
S006,C223,C,65,65
S006,C224,A,92,82
S006,C225,A,98,81
S006,C226,B,71,77
S006,C227,B,78,72
S006,C228,C,68,62
S006,C229,C,65,60
S006,C230,C,62,68
S006,C231,C,61,65
S006,C232,C,60,68
S006,C233,A,82,91
S006,C234,A,88,86
S006,C235,C,65,63
S006,C236,B,73,71
S006,C237,B,73,78
S006,C238,A,93,94
S006,C239,B,73,75
S006,C240,A,100,100
S006,C241,A,99,97
S006,C242,B,77,77
S006,C243,B,70,70
S006,C244,F,37,16
S006,C245,B,77,76
S006,C246,B,72,70
S006,C247,B,71,71
S006,C248,C,69,60
S006,C249,A,84,98
S006,C250,B,72,70
S007,C201,A,93,88
S007,C202,C,61,65
S007,C203,B,72,78
S007,C204,D,59,53
S007,C205,C,60,62
S007,C206,C,61,60
S007,C207,F,11,20
S007,C208,C,60,64
S007,C209,B,77,79
S007,C210,A,88,90
S007,C211,C,66,69
S007,C212,A,98,90
S007,C213,C,63,63
S007,C214,A,82,97
S007,C215,A,81,80
S007,C216,B,73,72
S007,C217,D,56,58
S007,C218,A,95,100
S007,C219,C,64,67
S007,C220,B,77,72
S007,C221,B,70,72
S007,C222,A,82,100
S007,C223,B,78,78
S007,C224,C,65,64
S007,C225,A,87,87
S007,C226,C,68,64
S007,C227,A,90,94
S007,C228,A,85,89
S007,C229,B,71,74
S007,C230,F,42,23
S007,C231,C,67,61
S007,C232,B,75,70
S007,C233,C,66,64
S007,C234,B,78,72
S007,C235,C,62,61
S007,C236,D,59,50
S007,C237,C,64,60
S007,C238,C,66,64
S007,C239,F,18,4
S007,C240,A,95,87
S007,C241,B,72,75
S007,C242,B,71,70
S007,C243,B,72,70
S007,C244,A,99,84
S007,C245,D,59,53
S007,C246,D,53,52
S007,C247,A,99,86
S007,C248,D,53,58
S007,C249,C,63,67
S007,C250,C,62,60
S008,C201,A,88,82
S008,C202,A,92,82
S008,C203,D,54,56
S008,C204,D,59,57
S008,C205,B,74,76
S008,C206,A,82,88
S008,C207,C,65,67
S008,C208,C,64,60
S008,C209,C,61,67
S008,C210,B,79,71
S008,C211,B,79,76
S008,C212,C,60,62
S008,C213,B,76,76
S008,C214,B,70,72
S008,C215,B,75,73
S008,C216,D,50,55
S008,C217,C,63,68
S008,C218,B,70,76
S008,C219,B,74,71
S008,C220,C,63,69
S008,C221,C,63,62
S008,C222,D,51,54
S008,C223,D,57,50
S008,C224,B,71,72
S008,C225,B,78,73
S008,C226,A,90,92
S008,C227,C,66,65
S008,C228,B,77,73
S008,C229,B,78,70
S008,C230,C,62,68
S008,C231,A,82,96
S008,C232,B,70,76
S008,C233,A,86,83
S008,C234,B,75,71
S008,C235,D,59,57
S008,C236,C,67,60
S008,C237,A,99,96
S008,C238,C,60,64
S008,C239,A,83,83
S008,C240,B,74,79
S008,C241,A,90,97
S008,C242,F,25,6
S008,C243,C,68,69
S008,C244,C,67,68
S008,C245,C,69,63
S008,C246,D,58,56
S008,C247,A,90,83
S008,C248,A,88,85
S008,C249,F,10,36
S008,C250,B,73,77
S009,C201,A,82,81
S009,C202,F,39,0
S009,C203,B,70,79
S009,C204,A,95,99
S009,C205,C,60,69
S009,C206,A,99,81
S009,C207,B,75,72
S009,C208,B,75,75
S009,C209,B,76,77
S009,C210,B,78,72
S009,C211,C,65,66
S009,C212,C,67,68
S009,C213,B,73,72
S009,C214,B,79,74
S009,C215,C,65,69
S009,C216,D,59,57
S009,C217,A,91,81
S009,C218,C,66,63
S009,C219,F,40,20
S009,C220,C,61,65
S009,C221,F,0,47
S009,C222,C,60,63
S009,C223,A,95,84
S009,C224,C,62,65
S009,C225,C,63,66
S009,C226,C,69,62
S009,C227,A,96,85
S009,C228,D,53,58
S009,C229,C,69,64
S009,C230,B,78,70
S009,C231,A,93,83
S009,C232,C,68,62
S009,C233,B,78,76
S009,C234,D,53,58
S009,C235,A,91,87
S009,C236,C,60,64
S009,C237,B,79,75
S009,C238,C,62,68
S009,C239,B,71,75
S009,C240,B,78,76
S009,C241,C,62,69
S009,C242,A,97,85
S009,C243,C,62,63
S009,C244,A,99,80
S009,C245,A,97,99
S009,C246,A,96,87
S009,C247,C,68,69
S009,C248,B,75,74
S009,C249,C,68,65
S009,C250,A,84,84
S010,C201,B,74,74
S010,C202,B,74,78
S010,C203,A,80,80
S010,C204,C,66,68
S010,C205,D,54,51
S010,C206,A,99,80
S010,C207,A,95,84
S010,C208,C,65,68
S010,C209,A,86,90
S010,C210,A,92,85
S010,C211,C,65,60
S010,C212,F,19,41
S010,C213,B,72,74
S010,C214,B,72,77
S010,C215,B,73,76
S010,C216,C,65,65
S010,C217,B,78,74
S010,C218,B,72,77
S010,C219,A,84,86
S010,C220,A,94,98
S010,C221,C,63,65
S010,C222,B,77,73
S010,C223,A,87,82
S010,C224,F,24,29
S010,C225,D,59,54
S010,C226,A,100,88
S010,C227,B,74,77
S010,C228,B,77,70
S010,C229,A,82,92
S010,C230,A,82,100
S010,C231,C,69,66
S010,C232,D,50,55
S010,C233,C,62,60
S010,C234,A,96,80
S010,C235,A,83,94
S010,C236,C,64,61
S010,C237,D,50,58
S010,C238,B,78,70
S010,C239,A,97,98
S010,C240,C,61,64
S010,C241,B,70,78
S010,C242,B,78,70
S010,C243,C,68,65
S010,C244,D,56,51
S010,C245,B,73,79
S010,C246,C,60,65
S010,C247,C,61,64
S010,C248,A,84,94
S010,C249,F,49,49
S010,C250,C,66,65
S011,C201,B,74,72
S011,C202,C,62,65
S011,C203,C,62,66
S011,C204,C,62,66
S011,C205,B,78,70
S011,C206,B,78,76
S011,C207,C,68,68
S011,C208,A,84,99
S011,C209,B,75,74
S011,C210,A,96,98
S011,C211,C,63,64
S011,C212,C,61,69
S011,C213,C,63,66
S011,C214,B,75,74
S011,C215,A,100,85
S011,C216,C,68,66
S011,C217,B,76,73
S011,C218,A,99,89
S011,C219,A,82,98
S011,C220,B,79,73
S011,C221,A,80,91
S011,C222,A,90,82
S011,C223,A,91,86
S011,C224,B,76,73
S011,C225,D,56,50
S011,C226,C,66,66
S011,C227,A,98,95
S011,C228,C,60,66
S011,C229,B,75,71
S011,C230,A,89,91
S011,C231,C,63,61
S011,C232,A,80,86
S011,C233,B,75,79
S011,C234,A,88,84
S011,C235,B,78,72
S011,C236,B,70,79
S011,C237,A,88,85
S011,C238,A,90,83
S011,C239,C,60,67
S011,C240,C,66,63
S011,C241,A,90,96
S011,C242,C,69,69
S011,C243,B,76,71
S011,C244,D,54,51
S011,C245,C,62,65
S011,C246,B,73,75
S011,C247,F,21,45
S011,C248,B,70,79
S011,C249,C,69,64
S011,C250,D,53,56
S012,C201,C,63,62
S012,C202,C,69,67
S012,C203,C,67,63
S012,C204,A,94,95
S012,C205,D,53,57
S012,C206,B,72,74
S012,C207,B,75,79
S012,C208,C,68,69
S012,C209,B,78,75
S012,C210,C,68,65
S012,C211,F,49,14
S012,C212,D,54,54
S012,C213,A,89,93
S012,C214,B,74,74
S012,C215,B,77,70
S012,C216,B,75,74
S012,C217,C,69,66
S012,C218,D,51,52
S012,C219,C,69,61
S012,C220,C,63,65
S012,C221,B,72,73
S012,C222,F,3,16
S012,C223,C,62,64
S012,C224,C,60,61
S012,C225,B,70,79
S012,C226,C,66,68
S012,C227,D,52,57
S012,C228,B,78,74
S012,C229,A,98,80
S012,C230,B,75,71
S012,C231,B,73,76
S012,C232,F,34,48
S012,C233,B,71,75
S012,C234,D,53,52
S012,C235,A,90,94
S012,C236,C,67,66
S012,C237,C,66,63
S012,C238,A,86,98
S012,C239,A,89,94
S012,C240,B,76,72
S012,C241,B,78,73
S012,C242,B,76,77
S012,C243,A,93,84
S012,C244,C,60,69
S012,C245,B,78,76
S012,C246,C,68,63
S012,C247,D,59,59
S012,C248,C,60,62
S012,C249,A,88,83
S012,C250,B,73,72
S013,C201,D,59,53
S013,C202,A,93,96
S013,C203,C,65,67
S013,C204,B,79,77
S013,C205,D,51,55
S013,C206,B,74,72
S013,C207,C,62,68
S013,C208,B,75,70
S013,C209,B,75,78
S013,C210,B,78,72
S013,C211,C,66,60
S013,C212,B,74,79
S013,C213,A,88,86
S013,C214,B,70,79
S013,C215,A,88,91
S013,C216,B,79,72
S013,C217,C,62,64
S013,C218,B,77,70
S013,C219,A,95,87
S013,C220,B,78,76
S013,C221,A,92,96
S013,C222,C,61,65
S013,C223,C,68,65
S013,C224,F,26,10
S013,C225,B,78,77
S013,C226,A,94,90
S013,C227,C,68,66
S013,C228,B,76,78
S013,C229,B,72,72
S013,C230,D,53,50
S013,C231,A,98,84
S013,C232,B,73,79
S013,C233,C,63,61
S013,C234,B,79,75
S013,C235,C,68,60
S013,C236,C,68,66
S013,C237,C,64,61
S013,C238,C,60,60
S013,C239,B,79,79
S013,C240,F,22,26
S013,C241,A,80,83
S013,C242,A,94,91
S013,C243,C,60,67
S013,C244,A,86,96
S013,C245,F,14,28
S013,C246,D,59,57
S013,C247,C,61,67
S013,C248,B,77,77
S013,C249,A,80,98
S013,C250,A,86,95
S014,C201,C,63,64
S014,C202,C,62,60
S014,C203,C,63,61
S014,C204,A,94,90
S014,C205,D,54,59
S014,C206,C,63,61
S014,C207,B,70,74
S014,C208,F,49,12
S014,C209,C,67,68
S014,C210,A,93,83
S014,C211,B,79,72
S014,C212,B,73,77
S014,C213,B,76,79
S014,C214,A,91,83
S014,C215,A,83,84
S014,C216,A,89,97
S014,C217,D,57,51
S014,C218,C,62,61
S014,C219,D,56,57
S014,C220,B,78,73
S014,C221,B,76,78
S014,C222,A,92,93
S014,C223,F,17,14
S014,C224,C,69,64
S014,C225,B,77,76
S014,C226,D,53,52
S014,C227,D,51,55
S014,C228,C,65,62
S014,C229,D,58,56
S014,C230,C,63,62
S014,C231,B,77,76
S014,C232,B,75,79
S014,C233,C,64,68
S014,C234,B,73,76
S014,C235,C,66,62
S014,C236,B,72,75
S014,C237,A,83,100
S014,C238,D,52,57
S014,C239,B,74,77
S014,C240,C,60,62
S014,C241,A,94,80
S014,C242,A,84,91
S014,C243,B,77,71
S014,C244,C,63,63
S014,C245,B,72,70
S014,C246,C,66,68
S014,C247,C,69,60
S014,C248,B,74,76
S014,C249,B,72,73
S014,C250,C,66,66
S015,C201,C,62,63
S015,C202,B,76,76
S015,C203,A,89,84
S015,C204,A,80,97
S015,C205,B,76,76
S015,C206,B,72,79
S015,C207,C,65,60
S015,C208,A,97,99
S015,C209,C,69,62
S015,C210,C,62,68
S015,C211,A,93,90
S015,C212,A,88,90
S015,C213,C,60,68
S015,C214,B,71,70
S015,C215,D,51,52
S015,C216,C,61,67
S015,C217,B,79,74
S015,C218,B,74,70
S015,C219,C,62,60
S015,C220,C,62,68
S015,C221,B,71,75
S015,C222,C,68,60
S015,C223,A,99,94
S015,C224,C,60,69
S015,C225,D,59,55
S015,C226,C,68,69
S015,C227,C,63,65
S015,C228,F,35,7
S015,C229,C,60,67
S015,C230,C,65,65
S015,C231,A,93,91
S015,C232,C,68,69
S015,C233,B,70,77
S015,C234,C,60,66
S015,C235,C,64,60
S015,C236,C,68,62
S015,C237,A,85,91
S015,C238,D,51,58
S015,C239,A,85,92
S015,C240,B,78,73
S015,C241,C,65,63
S015,C242,C,65,67
S015,C243,C,60,60
S015,C244,B,76,79
S015,C245,A,98,96
S015,C246,C,69,63
S015,C247,B,76,77
S015,C248,C,64,68
S015,C249,B,76,79
S015,C250,A,96,86
S016,C201,A,96,85
S016,C202,C,61,63
S016,C203,C,67,63
S016,C204,A,81,86
S016,C205,C,66,60
S016,C206,C,65,67
S016,C207,B,78,72
S016,C208,D,57,55
S016,C209,B,76,76
S016,C210,A,99,82
S016,C211,C,67,64
S016,C212,C,63,67
S016,C213,A,88,92
S016,C214,B,78,74
S016,C215,B,75,70
S016,C216,C,65,64
S016,C217,C,68,61
S016,C218,A,88,95
S016,C219,A,86,87
S016,C220,C,62,62
S016,C221,A,88,87
S016,C222,C,65,65
S016,C223,B,70,78
S016,C224,A,100,94
S016,C225,B,72,72
S016,C226,B,76,73
S016,C227,B,79,77
S016,C228,A,100,89
S016,C229,C,65,64
S016,C230,B,78,73
S016,C231,B,72,76
S016,C232,C,60,60
S016,C233,B,79,74
S016,C234,B,75,72
S016,C235,A,83,85
S016,C236,A,84,84
S016,C237,B,77,77
S016,C238,C,64,62
S016,C239,C,68,67
S016,C240,A,81,90
S016,C241,C,63,65
S016,C242,A,80,99
S016,C243,A,85,88
S016,C244,C,68,63
S016,C245,A,81,80
S016,C246,A,90,92
S016,C247,C,69,68
S016,C248,A,94,80
S016,C249,C,63,61
S016,C250,B,76,79
S017,C201,A,83,89
S017,C202,C,65,64
S017,C203,B,79,74
S017,C204,A,88,97
S017,C205,B,77,72
S017,C206,A,89,85
S017,C207,C,67,66
S017,C208,C,65,69
S017,C209,C,61,68
S017,C210,C,61,63
S017,C211,C,62,61
S017,C212,B,77,74
S017,C213,B,75,78
S017,C214,C,68,60
S017,C215,D,52,55
S017,C216,C,61,66
S017,C217,C,61,65
S017,C218,A,81,86
S017,C219,C,60,65
S017,C220,C,66,64
S017,C221,D,52,59
S017,C222,D,57,56
S017,C223,B,72,78
S017,C224,B,78,77
S017,C225,B,72,71
S017,C226,C,62,65
S017,C227,A,83,94
S017,C228,C,62,64
S017,C229,B,74,78
S017,C230,A,83,99
S017,C231,B,70,74
S017,C232,B,71,70
S017,C233,F,38,39
S017,C234,D,55,54
S017,C235,B,79,70
S017,C236,C,66,60
S017,C237,A,80,80
S017,C238,C,69,63
S017,C239,A,94,83
S017,C240,C,65,67
S017,C241,B,77,71
S017,C242,F,7,4
S017,C243,D,55,59
S017,C244,F,41,35
S017,C245,C,64,68
S017,C246,B,78,78
S017,C247,C,68,66
S017,C248,C,65,69
S017,C249,B,72,70
S017,C250,A,85,92
S018,C201,D,57,58
S018,C202,D,58,53
S018,C203,B,76,71
S018,C204,D,53,57
S018,C205,C,67,62
S018,C206,B,73,79
S018,C207,C,62,62
S018,C208,C,62,64
S018,C209,A,88,94
S018,C210,C,66,62
S018,C211,F,5,39
S018,C212,A,83,93
S018,C213,B,77,78
S018,C214,A,81,82
S018,C215,C,66,61
S018,C216,B,79,72
S018,C217,B,70,71
S018,C218,C,67,64
S018,C219,B,76,77
S018,C220,B,72,77
S018,C221,C,67,60
S018,C222,B,73,70
S018,C223,C,69,69
S018,C224,A,98,100
S018,C225,D,50,54
S018,C226,C,68,62
S018,C227,C,61,67
S018,C228,B,74,76
S018,C229,C,61,67
S018,C230,A,91,99
S018,C231,D,50,52
S018,C232,C,62,68
S018,C233,C,63,63
S018,C234,A,97,99
S018,C235,C,66,69
S018,C236,A,87,87
S018,C237,F,44,6
S018,C238,A,92,97
S018,C239,B,74,78
S018,C240,F,45,35
S018,C241,C,61,60
S018,C242,A,85,97
S018,C243,C,61,69
S018,C244,C,63,66
S018,C245,A,100,87
S018,C246,B,72,72
S018,C247,B,79,77
S018,C248,C,61,69
S018,C249,D,54,56
S018,C250,C,60,64
S019,C201,C,68,62
S019,C202,C,63,62
S019,C203,C,61,69
S019,C204,C,63,64
S019,C205,D,57,55
S019,C206,C,62,60
S019,C207,C,68,69
S019,C208,D,56,53
S019,C209,B,77,75
S019,C210,C,62,66
S019,C211,B,71,77
S019,C212,D,58,50
S019,C213,A,80,87
S019,C214,C,64,65
S019,C215,D,56,57
S019,C216,D,54,57
S019,C217,F,15,17
S019,C218,B,75,75
S019,C219,A,91,91
S019,C220,C,65,61
S019,C221,B,74,71
S019,C222,B,71,78
S019,C223,A,96,94
S019,C224,B,70,75
S019,C225,B,77,73
S019,C226,A,83,96
S019,C227,B,78,77
S019,C228,B,77,71
S019,C229,B,78,71
S019,C230,A,85,90
S019,C231,A,85,95
S019,C232,A,80,96
S019,C233,B,78,71
S019,C234,F,24,34
S019,C235,A,93,86
S019,C236,B,73,78
S019,C237,C,63,69
S019,C238,C,60,64
S019,C239,D,51,53
S019,C240,A,98,88
S019,C241,B,75,78
S019,C242,A,92,84
S019,C243,A,88,83
S019,C244,C,64,65
S019,C245,C,60,68
S019,C246,B,75,79
S019,C247,C,63,66
S019,C248,C,60,63
S019,C249,C,68,69
S019,C250,C,63,62
S020,C201,C,67,67
S020,C202,C,61,63
S020,C203,D,59,58
S020,C204,C,68,68
S020,C205,B,76,78
S020,C206,A,94,80
S020,C207,C,66,68
S020,C208,A,87,95
S020,C209,A,89,84
S020,C210,B,71,77
S020,C211,A,97,81
S020,C212,C,63,64
S020,C213,B,75,76
S020,C214,C,61,69
S020,C215,A,95,84
S020,C216,C,69,61
S020,C217,A,97,90
S020,C218,A,81,93
S020,C219,C,63,61
S020,C220,D,53,51
S020,C221,D,55,55
S020,C222,D,52,57
S020,C223,B,74,72
S020,C224,B,70,75
S020,C225,B,72,73
S020,C226,C,61,61
S020,C227,A,90,85
S020,C228,B,78,73
S020,C229,A,80,88
S020,C230,C,67,66
S020,C231,A,96,91
S020,C232,B,76,78
S020,C233,D,56,55
S020,C234,B,74,76
S020,C235,A,97,89
S020,C236,D,57,55
S020,C237,B,74,73
S020,C238,A,89,89
S020,C239,C,64,61
S020,C240,C,67,60
S020,C241,F,16,14
S020,C242,D,59,54
S020,C243,B,73,77
S020,C244,C,68,64
S020,C245,C,62,65
S020,C246,B,70,75
S020,C247,B,75,70
S020,C248,B,73,72
S020,C249,C,63,66
S020,C250,C,67,61
S021,C201,A,87,87
S021,C202,D,53,53
S021,C203,C,67,66
S021,C204,C,66,68
S021,C205,B,79,70
S021,C206,B,79,74
S021,C207,A,81,99
S021,C208,B,70,70
S021,C209,C,61,65
S021,C210,C,63,62
S021,C211,C,68,62
S021,C212,D,56,51
S021,C213,C,65,60
S021,C214,A,85,95
S021,C215,C,62,67
S021,C216,A,92,92
S021,C217,B,72,72
S021,C218,B,78,75
S021,C219,C,68,69
S021,C220,C,68,64
S021,C221,A,95,88
S021,C222,C,64,66
S021,C223,D,52,55
S021,C224,C,68,66
S021,C225,B,74,75
S021,C226,C,69,66
S021,C227,B,79,79
S021,C228,C,68,62
S021,C229,D,56,50
S021,C230,A,81,92
S021,C231,C,63,61
S021,C232,A,95,87
S021,C233,C,62,62
S021,C234,F,13,47
S021,C235,C,62,60
S021,C236,B,72,77
S021,C237,D,50,53
S021,C238,B,78,78
S021,C239,A,90,82
S021,C240,C,64,65
S021,C241,A,86,80
S021,C242,C,63,67
S021,C243,C,65,63
S021,C244,D,51,59
S021,C245,C,67,67
S021,C246,D,53,55
S021,C247,C,64,64
S021,C248,C,63,63
S021,C249,B,79,71
S021,C250,D,56,57
S022,C201,B,76,72
S022,C202,A,82,98
S022,C203,A,100,91
S022,C204,F,9,21
S022,C205,A,86,87
S022,C206,D,58,55
S022,C207,D,57,56
S022,C208,C,60,62
S022,C209,C,62,66
S022,C210,C,66,63
S022,C211,C,62,62
S022,C212,C,60,68
S022,C213,B,76,74
S022,C214,B,73,73
S022,C215,A,89,91
S022,C216,A,86,100
S022,C217,A,90,81
S022,C218,B,70,74
S022,C219,C,65,66
S022,C220,C,63,60
S022,C221,B,73,75
S022,C222,A,83,95
S022,C223,B,71,71
S022,C224,B,72,75
S022,C225,A,83,97
S022,C226,D,52,56
S022,C227,C,65,60
S022,C228,D,58,53
S022,C229,A,94,88
S022,C230,D,52,52
S022,C231,C,64,65
S022,C232,C,62,60
S022,C233,C,66,68
S022,C234,C,65,68
S022,C235,B,78,73
S022,C236,A,95,93
S022,C237,C,60,64
S022,C238,D,53,54
S022,C239,B,79,78
S022,C240,D,50,56
S022,C241,B,77,78
S022,C242,B,73,77
S022,C243,A,96,87
S022,C244,A,96,80
S022,C245,D,55,57
S022,C246,B,76,75
S022,C247,B,77,77
S022,C248,C,64,69
S022,C249,D,55,56
S022,C250,C,68,61
S023,C201,B,74,70
S023,C202,D,56,55
S023,C203,C,62,69
S023,C204,B,79,76
S023,C205,A,91,99
S023,C206,A,95,80
S023,C207,C,69,65
S023,C208,C,69,60
S023,C209,B,78,74
S023,C210,C,62,63
S023,C211,C,63,69
S023,C212,C,61,61
S023,C213,B,72,77
S023,C214,B,70,78
S023,C215,B,71,78
S023,C216,C,68,64
S023,C217,C,63,66
S023,C218,C,66,61
S023,C219,C,62,61
S023,C220,F,41,2
S023,C221,B,78,71
S023,C222,B,71,72
S023,C223,D,51,51
S023,C224,B,77,79
S023,C225,B,74,74
S023,C226,A,87,82
S023,C227,C,67,66
S023,C228,B,70,77
S023,C229,D,53,57
S023,C230,C,63,61
S023,C231,C,64,69
S023,C232,C,65,63
S023,C233,C,64,63
S023,C234,C,63,63
S023,C235,B,70,79
S023,C236,C,64,67
S023,C237,A,82,99
S023,C238,C,67,61
S023,C239,C,66,64
S023,C240,B,70,71
S023,C241,C,63,68
S023,C242,A,87,89
S023,C243,A,85,80
S023,C244,B,77,71
S023,C245,B,74,78
S023,C246,A,99,86
S023,C247,A,81,92
S023,C248,D,52,59
S023,C249,B,78,79
S023,C250,B,74,72
S024,C201,A,84,85
S024,C202,D,50,53
S024,C203,B,76,71
S024,C204,D,51,56
S024,C205,A,85,97
S024,C206,A,99,97
S024,C207,B,72,76
S024,C208,A,98,96
S024,C209,C,67,66
S024,C210,C,62,66
S024,C211,A,83,87
S024,C212,C,66,66
